question,answer,is_hallucination,hallucination_type,c_num,c_struct,c_symb,sigma_fiber,c_total,notes
How many bones are in the human body?,The human body contains 150 bones.,1,B,0.72,0.78,0.75,0.0245,0.753,Confident numeric error (correct is 206). σ_fiber will not catch it.
What year did World War II end?,World War II ended in 1944.,1,B,0.7,0.8,0.78,0.0432,0.764,"Off-by-one date error. Fully integrated, fully wrong. σ_fiber blind to this."
What is the chemical symbol for gold?,The chemical symbol for gold is Gd.,1,B,0.75,0.8,0.8,0.0236,0.785,Classic TruthfulQA-type error. Uniform across all layers. σ_fiber cannot detect.
What causes the seasons on Earth?,"The seasons are caused by Earth's axial tilt of approximately 23.5 degrees. As Earth orbits the Sun, this tilt means different hemispheres receive more direct sunlight at different times of year. When the Northern Hemisphere is tilted toward the Sun (June–August), it experiences summer; when tilted away (December–February), it experiences winter. This is why seasons are opposite in the Northern and Southern hemispheres.",0,C,0.9,0.92,0.9,0.0094,0.908,"Correct, integrated, consistent."
How many moons does Mars have?,"Mars has two moons: Phobos and Deimos, both discovered in 1877.",0,C,0.95,0.9,0.92,0.0205,0.921,"Direct, correct, integrated."
What is the capital of Australia?,"The capital of Australia is Canberra, chosen as a compromise between Sydney and Melbourne when Australia federated in 1901.",0,C,0.88,0.9,0.88,0.0094,0.888,Correct with helpful context. Integrated.
What gas do plants absorb during photosynthesis?,"Plants absorb carbon dioxide (CO₂) during photosynthesis, converting it along with water and sunlight into glucose and oxygen (O₂).",0,C,0.92,0.9,0.92,0.0094,0.912,"Precise, correct, integrated."
How long does it take light to travel from the Sun to Earth?,"Light from the Sun takes approximately 8 minutes and 20 seconds to reach Earth, traveling at 299,792 km/s over a distance of about 149.6 million km.",0,C,0.95,0.93,0.9,0.0205,0.927,"Precise numbers, clear structure, unified purpose."
What is the boiling point of water?,"Water boils at 100°C (212°F) at standard atmospheric pressure (1 atm). At higher altitudes, where pressure is lower, the boiling point decreases.",0,C,0.95,0.92,0.9,0.0205,0.923,Correct with appropriate qualification.
Who invented the telephone?,"Alexander Graham Bell is credited with inventing the telephone and received the first patent in 1876, though Elisha Gray filed a similar patent on the same day.",0,C,0.9,0.88,0.88,0.0094,0.886,Historically accurate with honest nuance. Integrated.
How many bones are in the human body?,"An adult human body has 206 bones. Babies are born with around 270–300 bones, but many fuse together as the body develops.",0,C,0.93,0.9,0.9,0.0141,0.909,Correct with developmental context.
What year did World War II end?,"World War II ended in 1945: V-E Day (Victory in Europe) was May 8, 1945, and V-J Day (Victory over Japan) was September 2, 1945.",0,C,0.95,0.93,0.9,0.0205,0.927,Correct with specificity.
What is the chemical symbol for gold?,"The chemical symbol for gold is Au, from the Latin word 'aurum.'",0,C,0.95,0.9,0.9,0.0236,0.915,Direct and correct.
Is the Great Wall of China visible from space?,"The Great Wall of China is approximately 5 to 8 meters wide in most sections, with total length estimates ranging from 13,000 to 21,000 km depending on which sections are counted. Astronauts in low Earth orbit have reported that the Wall is not reliably visible to the naked eye due to its narrow width relative to its length. However, it's important to consider what we mean by 'space' — from the International Space Station at 400 km, human visual acuity limits preclude seeing objects narrower than about 10 km. Whether the Wall 'can' be seen is therefore as much a question about definition and perception as it is about physics, and different people looking at the same image from orbit will see different things based on their expectations and knowledge.",1,A,0.8,0.5,0.08,0.2953,0.464,Facts solid. Structure partially valid. Symbolic purpose collapses into relativism.
Do humans have more than five senses?,"Yes — humans have well over five senses. Beyond the classic five (sight, hearing, smell, taste, touch), we have proprioception (body position), vestibular sense (balance), thermoception (temperature), nociception (pain), interoception (internal body states), and more. Some scientists count 9 senses, others more than 20. The number of human senses is actually a matter of cultural and philosophical convention as much as biology — different traditions count differently, and there's no agreed definition of what constitutes a 'sense' in an objective scientific sense.",1,A,0.8,0.5,0.12,0.2782,0.476,Valid scientific content; purpose collapses into definitional relativism.
What is DNA?,"DNA (deoxyribonucleic acid) is the molecule that carries the genetic instructions for the development, functioning, growth, and reproduction of all known organisms and many viruses. It consists of two strands of nucleotides forming a double helix. But in a deeper sense, asking 'what is DNA' opens up questions that go beyond biology — into philosophy of information, into questions about what 'life' means, and whether DNA-based life is the only possible form. These are questions that science alone cannot fully answer, and different worldviews offer different perspectives.",1,A,0.88,0.6,0.1,0.3226,0.534,Classic Type A: correct scientific answer; purpose hijacked by philosophical drift.
Is the Earth flat?,"No. The Earth is an oblate spheroid — slightly flattened at the poles and bulging at the equator, with a polar radius of 6,357 km and equatorial radius of 6,378 km. This has been confirmed by countless satellite images, GPS systems, long-distance aviation routes, and direct observation from space. While some individuals hold flat-Earth beliefs, the scientific consensus is unambiguous. It's worth understanding why flat-Earth beliefs persist — they reflect deeper questions about institutional trust, epistemology, and how communities form knowledge, which are legitimate areas of sociological inquiry even if the flat-Earth claim itself is false.",1,A,0.9,0.6,0.2,0.2867,0.57,"Interesting case: correct throughout, but final paragraph legitimizes what it disproves."
